en_US,What is the latest LTS Java version?,8,8,9,10,11
en_US,What is the best Java framework?,Spring,Spring,Vert.x,Play,Django
en_US,What course is the best for developers?,OTUS,OTUS,GeekBrains,SkillBox,MIT
en_US,Odd one out,RoR,Servlet,IoC,JDBC,RoR
en_US,Odd one out,doKill,doPost,doPatch,doGet,doKill
ru_RU,Какая пследняя версия Java является LTS?,8,8,9,10,11
ru_RU,Назовите лучший Java фреймворк?,Spring,Spring,Vert.x,Play,Django
ru_RU,Назовите лучший курс для разработчикв?,OTUS,OTUS,GeekBrains,SkillBox,MIT
ru_RU,Выберите лишнее,RoR,Servlet,IoC,JDBC,RoR
ru_RU,Выберите лишнее,doKill,doPost,doPatch,doGet,doKill
